name,ra,dec,spect_type,vmag
HIP 70638,216.7322531,-83.66785308,K2III, 4.31
HIP 112405,341.5155139,-81.38161731,A9IV/V, 4.13
HIP 69896,214.5582105,-81.00760147,A2m..., 4.89
HIP 52633,161.446399,-80.54020283,B2.5IV, 4.45
HIP 60000,184.5872663,-79.31226899,B5Vn, 4.24
HIP 72370,221.9655257,-79.04471242,K5III, 3.83
HIP 81065,248.3644341,-78.89695917,K0IV SB, 3.86
HIP 80047,245.0868128,-78.69565609,M5III, 4.68
HIP 51839,158.8675767,-78.60781379,M0III, 4.11
HIP 58484,179.9070471,-78.22181833,B9Vn, 4.88
HIP 81852,250.7725818,-77.51657182,K0III, 4.23
HIP 40888,125.162033,-77.4845764,K0III-IV, 4.34
HIP 107089,325.368638,-77.38946215,K0III, 3.73
HIP 2021,6.41334183,-77.25503511,G2IV, 2.82
HIP 122,0.39937928,-77.06529438,K2III, 4.78
HIP 40702,124.6302785,-76.91998251,F5III, 4.05
HIP 13244,42.6189035,-75.06688108,K3III, 4.76
HIP 17678,56.80929799,-74.23924251,M2III, 3.26
HIP 50954,156.0989187,-74.03154474,F2IV, 3.99
HIP 51495,157.758644,-73.2215089,K4/K5III, 4.94
HIP 98495,300.1474723,-72.91018443,A0V, 3.97
HIP 37504,115.4549835,-72.60613528,K0III, 3.93
HIP 44599,136.286793,-72.60269387,F6II-III, 4.47
HIP 61199,188.117129,-72.1329759,B5V, 3.84
HIP 51438,157.5836462,-71.99271995,A2III, 4.72
HIP 63613,195.5657397,-71.54879865,K2III, 3.61
HIP 91792,280.758891,-71.42772867,K2III, 4.01
HIP 44626,136.4099252,-70.53852074,B2IVe, 4.66
HIP 34481,107.1867688,-70.49919435,G8IIIvar, 3.78
HIP 57696,177.4859461,-70.2257858,G5Ib, 4.98
HIP 80686,247.1158385,-70.08467012,F9V, 4.90
HIP 50099,153.4344955,-70.03792169,B8III, 3.29
HIP 45238,138.3010033,-69.71747245,A2IV, 1.67
HIP 61585,189.2961821,-69.13553358,B2IV-V, 2.69
HIP 82273,252.1661074,-69.02763503,K2IIb-IIIa, 1.91
HIP 5896,18.93956391,-68.87623708,F6IV, 4.25
HIP 74946,229.7278701,-68.67946723,A1V, 2.87
HIP 11001,35.43759585,-68.6594239,A3V, 4.08
HIP 39794,121.98267,-68.61713647,B6IV, 4.35
HIP 12394,39.8967653,-68.2669476,B9III, 4.12
HIP 62322,191.5702901,-68.10809405,B2V, 3.04
HIP 59929,184.394318,-67.96067161,M5III, 4.06
HIP 35228,109.2076284,-67.95717248,F6II, 3.97
HIP 64661,198.8124908,-67.8945633,B8V, 4.79
HIP 84969,260.4980616,-67.7706496,K1III, 4.76
HIP 8928,28.73339519,-67.64748114,G5III, 4.68
HIP 12876,41.38555249,-67.616724,A2IV/V, 4.83
HIP 93015,284.2376694,-67.23353511,F5Ib-II:, 4.40
HIP 24372,78.43927858,-67.18534976,K2III, 4.81
HIP 50847,155.7424136,-66.90152522,B8V, 4.97
HIP 57581,177.0603726,-66.81487085,K4III, 4.75
HIP 64820,199.3043125,-66.78342263,K2Ib/II, 4.86
HIP 57363,176.4023639,-66.72884344,A7III, 3.63
HIP 1599,5.00797581,-64.8776232,F9V, 4.23
HIP 44382,135.6116618,-66.39584369,Am, 4.00
HIP 76440,234.1799454,-66.31690469,K0III, 4.11
HIP 102395,311.2398153,-66.20323826,A5IV, 3.42
HIP 99240,302.1744171,-66.17932101,G5IV-Vvar, 3.55
HIP 41312,126.4343594,-66.13652042,K2IIIvar, 3.77
HIP 27100,86.19341279,-65.7355408,A7V, 4.34
HIP 118322,359.978792,-65.57707774,B9IV, 4.49
HIP 105858,321.6103839,-65.36814438,F6V, 4.21
HIP 57851,177.963637,-65.20589445,B4V, 4.89
HIP 48002,146.7755734,-65.07201888,A9, 2.92
HIP 71908,220.6278543,-64.97456957,F1Vp, 3.18
HIP 110838,336.8328045,-64.96637927,B8V, 4.51
HIP 92024,281.3619008,-64.87089771,A7V, 4.78
HIP 17440,56.04814541,-64.80709398,K0IV SB, 3.84
HIP 86929,266.4333435,-64.7237345,K1III, 3.61
HIP 59072,181.7202202,-64.61363898,F2III, 4.14
HIP 65387,201.0018474,-64.53561699,G5III-IV, 4.52
HIP 52370,160.5589334,-64.4664538,B3V, 4.76
HIP 52419,160.739278,-64.39447937,B0Vp, 2.74
HIP 52736,161.7135174,-64.38349702,B3IV, 4.87
HIP 13884,44.69902505,-64.07129717,A5III, 4.98
HIP 60009,184.609553,-64.00304555,B2.5V, 4.06
HIP 52502,161.0289048,-63.9611007,B5Vn, 4.80
HIP 57669,177.4212002,-63.78848906,B3V, 4.30
HIP 68191,209.4122368,-63.68661603,K4III, 4.71
HIP 79664,243.8594423,-63.68564897,G5II, 3.86
HIP 88866,272.1449619,-63.66804844,Am, 4.33
HIP 74837,229.4120326,-63.61048662,K2.5III, 4.85
HIP 39138,120.0832051,-63.56750271,B3V, 4.81
HIP 77952,238.7867001,-63.42974973,F2III, 2.83
HIP 58758,180.7570797,-63.31294495,Am, 4.32
HIP 58867,181.0801573,-63.16571094,B2IV, 4.72
HIP 60718,186.6497559,-63.09905586,B0.5IV, 0.77
HIP 27890,88.52458376,-63.09102096,K1III/IV, 4.65
HIP 56561,173.9455345,-63.01982488,B9II:, 3.11
HIP 2487,7.88898014,-62.96544985,A2V, 4.53
HIP 2484,7.88566992,-62.95808549,B9V, 4.36
HIP 16245,52.34244352,-62.93843436,F5IV-V, 4.71
HIP 47854,146.3117815,-62.50792328,G5Iab/Ib, 3.69
HIP 26069,83.40631813,-62.48985585,F6Ia, 3.76
HIP 19780,63.60596306,-62.47397888,G7III, 3.33
HIP 54301,166.6353096,-62.42413654,G8III, 4.62
HIP 45856,140.236793,-62.40463293,G6III, 4.79
HIP 45101,137.8198661,-62.31701587,B3IV, 3.96
HIP 90797,277.8434439,-62.27819116,B8III, 4.63
HIP 92609,283.0543189,-62.18756062,B2II-III, 4.22
HIP 18744,60.2241876,-62.15936923,M4III, 4.48
HIP 56986,175.2235527,-62.09010401,G3Ib, 4.93
HIP 111310,338.2500526,-61.982073,M4III, 4.91
HIP 32607,102.0480713,-61.94197988,A7IV, 3.24
HIP 51576,158.0061825,-61.68536031,B4Vne, 3.30
HIP 9236,29.69113269,-61.56992444,F0V, 2.86
HIP 101773,309.3968323,-61.52974415,Fm delta Del, 4.86
HIP 90098,275.8067524,-61.49390506,M1III SB, 4.35
HIP 18597,59.68640623,-61.40015059,M2III, 4.56
HIP 50371,154.2708554,-61.33231977,K3II, 3.39
HIP 47391,144.8376706,-61.32810523,B9V, 4.51
HIP 39903,122.2535766,-61.3017058,F5V, 4.74
HIP 57439,176.6285375,-61.17835907,G0II, 4.11
HIP 18772,60.32529605,-61.07905148,K4III, 4.97
HIP 65271,200.658249,-60.98835608,B3V, 4.52
HIP 62268,191.4079843,-60.98116057,K1III, 4.69
HIP 71681,219.9141283,-60.83947139,K1V, 1.35
HIP 71683,219.9204103,-60.83514707,G2V,-0.01
HIP 85727,262.774904,-60.68360667,B8V, 3.60
HIP 43783,133.7619236,-60.64471195,B8III, 3.84
HIP 101612,308.8948674,-60.58129819,F1III, 4.75
HIP 52468,160.8846154,-60.56662705,K3Ib, 4.58
HIP 60260,185.3408804,-60.40136988,K3/K4III, 3.59
HIP 68702,210.956019,-60.3729784,B1III, 0.61
HIP 54751,168.1500845,-60.3176307,A6Ia, 4.59
HIP 110130,334.6257426,-60.25949486,K3III, 2.87
HIP 64425,198.0734554,-59.92053651,B8V, 4.58
HIP 42568,130.1543132,-59.76101468,B1.5III, 4.31
HIP 62434,191.9304954,-59.68873246,B0.5III, 1.25
HIP 61966,190.48582,-59.68581085,B6IV, 4.91
HIP 41037,125.628603,-59.50953829,K3III+B2V, 1.86
HIP 98608,300.4363427,-59.37582804,M6III, 4.95
HIP 75323,230.8444073,-59.32069839,B5III + F8, 4.48
HIP 19921,64.12118133,-59.30174841,K2IV, 4.44
HIP 45556,139.2726183,-59.27526115,A8Ib, 2.21
HIP 46974,143.611096,-59.22976797,B5II, 4.08
HIP 43937,134.2434461,-59.22935883,B2IV-V, 4.93
HIP 52102,159.6875522,-59.18299905,K4/K5III:, 4.69
HIP 63007,193.6634168,-59.14666538,B4Vn, 4.62
HIP 64583,198.5642837,-59.10285946,F7IV, 4.90
HIP 82363,252.4462976,-59.04131648,K5III, 3.77
HIP 54463,167.1474818,-58.97504198,G0Ia0, 3.93
HIP 45080,137.7421054,-58.96693014,B2IV, 3.43
HIP 53253,163.3731926,-58.85326474,K0III-IV..., 3.78
HIP 74824,229.3790009,-58.80087882,A3V, 4.07
HIP 59747,183.7864873,-58.74890179,B2IV, 2.79
HIP 51232,156.9697711,-58.73940856,F2II, 3.81
HIP 70264,215.6546749,-58.45915834,G8/K1 + F/G, 4.76
HIP 103227,313.7024151,-58.4540947,K0III, 3.67
HIP 114996,349.3575502,-58.23592762,F1III, 3.99
HIP 42134,128.8318677,-58.0092947,K0III, 4.84
HIP 78662,240.8842544,-57.77487351,A7IV, 4.63
HIP 51192,156.8519928,-57.63881373,A6Ia, 4.65
HIP 51849,158.8971442,-57.55763551,K3/K4II, 4.45
HIP 45496,139.0504268,-57.54143764,M1III, 4.34
HIP 23693,76.37787652,-57.47298928,F7V, 4.71
HIP 3405,10.83851683,-57.46309763,A0IV, 4.36
HIP 7588,24.42813204,-57.23666007,B3Vp, 0.45
HIP 63003,193.6485734,-57.17789116,B2IV-V, 4.03
HIP 61084,187.791372,-57.11256922,M4III, 1.59
HIP 46701,142.8056407,-57.0343916,K5III, 3.16
HIP 108870,330.822665,-56.77980602,K5V, 4.69
HIP 43105,131.67733,-56.76979718,B3Vne, 4.50
HIP 100751,306.4118735,-56.73488071,B2IV, 1.94
HIP 62327,191.5947896,-56.48877967,B3V, 4.62
HIP 70069,215.0814698,-56.38647906,B6Ib, 4.30
HIP 85267,261.3485827,-56.37768824,B1Ib, 3.31
HIP 27530,87.45656999,-56.1664886,K1III, 4.50
HIP 50676,155.2283958,-56.04322401,B3III, 4.50
HIP 83081,254.6551282,-55.99005508,K5III, 3.12
HIP 52154,159.8267189,-55.60327905,G2II, 4.29
HIP 85258,261.3249883,-55.52982397,K3Ib-II, 2.84
HIP 5348,17.0960837,-55.24583235,B6V + B0V, 3.94
HIP 21281,68.49882684,-55.04500559,A0V:, 3.30
HIP 50555,154.9031883,-55.02931452,K3II, 4.59
HIP 45941,140.5284551,-55.01069531,B2IV, 2.47
HIP 108431,329.4792958,-54.9925666,F0IV, 4.40
HIP 29276,92.574638,-54.96866057,B0.5IV, 4.72
HIP 42913,131.1758221,-54.70856797,A1V, 1.93
HIP 79509,243.3697263,-54.63041289,G4III, 4.95
HIP 48774,149.2156452,-54.5677973,B5Ib, 3.52
HIP 66821,205.4367283,-54.55936543,B8Vn+..., 4.99
HIP 55425,170.2518427,-54.49101395,B5Vn, 3.90
HIP 56480,173.6904664,-54.26413167,B9V, 4.62
HIP 51523,157.8426451,-53.7159928,F6V, 4.89
HIP 32761,102.4638171,-53.62249221,G6II, 4.41
HIP 112374,341.4077169,-53.50016316,K2IIICNIV, 4.84
HIP 66657,204.9719696,-53.46636269,B1III, 2.29
HIP 105319,319.9661825,-53.44926434,A5V, 4.39
HIP 69191,212.478986,-53.43872584,G8III, 4.74
HIP 83153,254.8960277,-53.16049005,K4III, 4.06
HIP 42726,130.6058767,-53.11404062,B3IV, 4.83
HIP 38827,119.1947573,-52.98240062,B3IVp, 3.46
HIP 31407,98.74411397,-52.97563454,B9III, 4.35
HIP 93148,284.6156468,-52.93860748,A0V, 4.85
HIP 42536,130.0733717,-52.92197259,B3IV, 3.60
HIP 99120,301.8465358,-52.88080972,M1II, 4.93
HIP 113638,345.2203098,-52.75410562,G8III, 4.11
HIP 43878,134.0803251,-52.72351071,B5V, 4.68
HIP 30438,95.98787763,-52.69571799,F0Ib,-0.62
HIP 36942,113.9154175,-52.53380809,K3III, 4.93
HIP 59449,182.9131309,-52.36841559,B3V, 3.97
HIP 74395,228.0716798,-52.09907465,G8III, 3.41
HIP 102333,311.0091112,-51.92084051,A6:var, 4.51
HIP 49712,152.2343903,-51.81126187,B3IV, 4.85
HIP 9007,28.98680207,-51.60958673,G5IV, 3.69
HIP 10602,34.12708452,-51.51211145,B8IV-V, 3.56
HIP 19893,64.00621426,-51.48709578,F4III, 4.26
HIP 60710,186.6324508,-51.4506115,B3Vn, 4.82
HIP 67234,206.6640352,-51.43269771,G8/K0III, 4.64
HIP 112623,342.1383214,-51.31670354,A3V, 3.49
HIP 27321,86.82118054,-51.06671329,A3V, 3.85
HIP 59196,182.0897651,-50.72240999,B2IVne, 2.58
HIP 59173,182.0219013,-50.66125439,B2IIIne, 4.46
HIP 32768,102.4839035,-50.61439973,K0III..., 2.94
HIP 71121,218.1545145,-50.45712132,B2III, 4.44
HIP 60823,187.0100483,-50.2306048,B3V, 3.91
HIP 80000,244.9606983,-50.15537923,G8III, 4.01
HIP 88714,271.6578283,-50.09145462,B2Ib, 3.65
HIP 79790,244.253898,-50.06811224,F9Ia, 4.97
HIP 64004,196.7277627,-49.90621586,B1.5V, 4.27
HIP 85792,262.9605066,-49.87598159,B2Vne, 2.84
HIP 38500,118.2651766,-49.61307949,B1.5Vp, 4.63
HIP 34059,105.9735665,-49.58425759,A4IV, 4.92
HIP 63724,195.8889497,-49.52723627,A0V, 4.83
HIP 71536,219.4718797,-49.42575765,B5V, 4.05
HIP 52727,161.6921754,-49.42012517,G5III SB, 2.69
HIP 86486,265.0988847,-49.41515481,F3IV, 4.76
HIP 47175,144.2069042,-49.3551286,A5V, 4.34
HIP 38957,119.560183,-49.24492865,B1Vp + B2, 4.47
HIP 78639,240.8035842,-49.22972074,G8III, 4.65
HIP 7083,22.81242306,-49.07307701,K0III-IV, 3.93
HIP 90568,277.2072332,-49.07003097,G8/K0III, 4.10
HIP 61932,190.3800208,-48.95988553,A1IV, 2.20
HIP 62867,193.2790691,-48.94325313,K3/K4III, 4.33
HIP 62012,190.6481714,-48.81303493,K0III, 4.66
HIP 2472,7.85356695,-48.80356171,A0V, 4.76
HIP 74376,227.9840043,-48.73770212,B9V, 3.88
HIP 33357,104.0666214,-48.72116448,M1III, 4.94
HIP 61622,189.4263659,-48.54128816,A2V, 3.85
HIP 41039,125.6320777,-48.49039742,B1V, 4.79
HIP 63945,196.5697099,-48.46325358,B5V, 4.71
HIP 35020,108.6589353,-48.27192832,B8/B9V, 4.75
HIP 51986,159.3260698,-48.22561631,A3m+..., 3.84
HIP 38518,118.3256786,-48.10294824,B0.5Ib, 4.22
HIP 96341,293.8041407,-48.09911061,G9III, 4.88
HIP 75206,230.5349753,-47.92746963,F8V, 4.99
HIP 74911,229.6335359,-47.87519201,B8V, 4.27
HIP 11407,36.74627081,-47.70382692,B5IV, 4.24
HIP 80582,246.7960326,-47.5547359,B4V, 4.46
HIP 71860,220.482391,-47.38814127,B1.5III, 2.30
HIP 9095,29.29163705,-47.38529869,G8III, 4.82
HIP 39953,122.3831473,-47.33661177,WC8 + O9I, 1.75
HIP 42624,130.3047503,-47.31714129,A5II, 4.74
HIP 101772,309.3916237,-47.29166239,K0III, 3.11
HIP 68002,208.8851454,-47.28826634,B2.5IV, 2.55
HIP 44511,136.0388356,-47.09771376,K2III, 3.75
HIP 38089,117.0843653,-47.07753199,K0III, 4.69
HIP 73807,226.279607,-47.05119386,B5, 3.91
HIP 109268,332.0578184,-46.96061593,B7IV, 1.73
HIP 112122,340.6663953,-46.88456594,M5III, 2.07
HIP 34834,108.1405872,-46.75956448,F0IV, 4.49
HIP 5165,16.52127713,-46.71849042,G8IIIvar, 3.32
HIP 42570,130.1565637,-46.64875492,F3Ia, 3.77
HIP 48374,147.9195349,-46.54764424,G5Ib, 4.58
HIP 86092,263.9150472,-46.50559076,A0V, 4.56
HIP 38164,117.3095792,-46.37322729,B0III, 4.10
HIP 8837,28.41174872,-46.30244631,M4III SB, 4.39
HIP 102790,312.3705384,-46.22689249,K5III, 4.90
HIP 3245,10.33156671,-46.08500934,G8III, 4.59
HIP 69996,214.8509697,-46.05808391,B2.5IV, 3.55
HIP 43023,131.5068946,-46.0415392,A1III, 3.87
HIP 90422,276.7434595,-45.96832919,B3IV, 3.49
HIP 89112,272.8074009,-45.95432704,G5III, 4.52
HIP 90830,277.9393169,-45.9147436,B6IV, 4.92
HIP 765,2.35224949,-45.74698836,K0III, 3.88
HIP 68523,210.4312165,-45.60336989,F6II, 4.34
HIP 5862,18.79403213,-45.53209717,F8V, 4.97
HIP 116602,354.4622305,-45.49232134,A2V, 4.74
HIP 70576,216.5450065,-45.37926095,A7:+..., 4.33
HIP 43347,132.4485347,-45.30790977,A2III, 4.94
HIP 74117,227.2109565,-45.27979406,B3V, 4.07
HIP 114421,347.5892831,-45.24664747,K0III SB, 3.88
HIP 70574,216.5343127,-45.22138996,B2IV, 4.56
HIP 70104,215.1772957,-45.1868814,F0IV, 4.78
HIP 34899,108.3057129,-45.18252474,Ap, 4.87
HIP 57803,177.7864651,-45.1734495,K4III, 4.47
HIP 78914,241.6225984,-45.17327517,Am, 4.73
HIP 76371,233.9719375,-44.95833688,B3IVp, 4.55
HIP 45085,137.7683442,-44.86791223,B5Ia, 4.99
HIP 68282,209.6698807,-44.8035314,B2IV-V, 3.87
HIP 95294,290.8044192,-44.79964788,F2III, 4.27
HIP 75264,230.6703647,-44.68957314,B2IV-V, 3.37
HIP 76829,235.2979823,-44.66055926,F5IV-V, 4.64
HIP 34922,108.3842954,-44.64052957,M5e, 4.42
HIP 74449,228.2066864,-44.50035965,B3IV, 4.83
HIP 95241,290.6595272,-44.45891013,B9V, 3.96
HIP 87846,269.1976068,-44.34219871,K2III, 4.85
HIP 81122,248.5209177,-44.04530868,B0Ia, 4.86
HIP 111043,337.4393561,-43.74922804,M4.5IIIa, 4.12
HIP 2072,6.55048418,-43.67990933,A7V, 3.93
HIP 72683,222.9096805,-43.57529383,B5IV, 4.32
HIP 114131,346.7198686,-43.52032436,F5me..., 4.28
HIP 110997,337.3173087,-43.49555433,G6/G8III, 3.97
HIP 44816,136.9990713,-43.43262406,K4Ib-II, 2.23
HIP 88726,271.7078522,-43.42496169,A5V, 4.92
HIP 6867,22.0914236,-43.31772906,K5II-III, 3.41
HIP 36377,112.3078263,-43.30189129,K5III SB, 3.25
HIP 84143,258.038233,-43.23849039,F3p, 3.32
HIP 31685,99.44029869,-43.19592394,B8III SB, 3.17
HIP 73273,224.6331419,-43.13386699,B2III, 2.68
HIP 15510,49.97177014,-43.07154929,G8V, 4.26
HIP 86228,264.3296907,-42.99782155,F1II, 1.86
HIP 42312,129.4110057,-42.98910371,A6II, 4.11
HIP 40096,122.8579034,-42.98728888,A7Ib, 4.73
HIP 12413,39.94966387,-42.89163328,A2V, 4.74
HIP 28328,89.78662719,-42.81510761,K0III, 3.96
HIP 42884,131.0998583,-42.64932331,G5III, 4.05
HIP 116389,353.7688774,-42.61510105,A2V, 4.69
HIP 76552,234.5138429,-42.56748493,K4.5III, 4.34
HIP 67472,207.4041993,-42.47368506,B2IV-Ve, 3.47
HIP 82671,253.4988637,-42.36201968,B1Iae, 4.70
HIP 82729,253.6462716,-42.36075916,K4III, 3.62
HIP 90982,278.3756671,-42.31245871,G5III, 4.62
HIP 2081,6.57028075,-42.30512197,K0III..., 2.40
HIP 19747,63.5003388,-42.29387294,K1III, 3.85
HIP 53773,165.0385243,-42.22586959,A3IV, 4.37
HIP 71352,218.8768816,-42.15774562,B1Vn + A, 2.33
HIP 50191,153.684474,-42.12206281,A2V, 3.85
HIP 73334,224.7904125,-42.10414199,B2IV, 3.13
HIP 68245,209.5678528,-42.10070526,B2IV, 3.83
HIP 93542,285.7784692,-42.09499443,A0Vn, 4.74
HIP 19515,62.71013758,-41.99374121,A9V, 4.93
HIP 98032,298.8153295,-41.8684135,K0III, 4.12
HIP 21770,70.14092957,-41.86357034,F2V, 4.44
HIP 78323,239.8762327,-41.74439602,G8III, 4.99
HIP 87936,269.4491939,-41.71625842,M0III, 4.88
HIP 67464,207.3762392,-41.68765971,B2IV, 3.41
HIP 50799,155.5816918,-41.65010791,K1IIIvar, 4.82
HIP 112203,340.8748696,-41.41411843,K0III, 4.84
HIP 109908,333.9036867,-41.34675029,G8III+..., 4.79
HIP 44191,135.0226672,-41.25373789,Fp, 4.45
HIP 68862,211.5116084,-41.17958035,B2V, 4.36
HIP 76297,233.7852516,-41.16669497,B2IV, 2.80
HIP 105382,320.1899315,-40.80950852,A2p, 4.80
HIP 75141,230.3430683,-40.64745946,B1.5IV, 3.22
HIP 95347,290.9714641,-40.61564629,B8V, 3.96
HIP 38414,118.0543562,-40.57579889,G5III..., 3.71
HIP 57443,176.6343626,-40.50133452,G3/G5V, 4.89
HIP 94005,287.0872208,-40.4966376,K1III, 4.57
HIP 46651,142.6754706,-40.46688763,F2IV, 3.60
HIP 40326,123.5120297,-40.34773028,K1II/III, 4.42
HIP 13847,44.5654818,-40.30473491,A4III+..., 2.88
HIP 16870,54.2736588,-40.27451075,K0III, 4.57
HIP 62896,193.3589416,-40.17881857,A4IV, 4.25
HIP 87073,266.8961714,-40.12698197,F3Ia, 2.99
HIP 87294,267.5462917,-40.09042823,A6Ib, 4.78
HIP 39429,120.8961256,-40.00318846,O5IAf, 2.21
HIP 61789,189.969006,-39.98724188,B8II/III, 4.63
HIP 12486,40.16638213,-39.85530905,K0III, 4.11
HIP 34495,107.2128182,-39.65567374,B3IV/V, 4.83
HIP 40091,122.8395844,-39.61855304,K4III, 4.44
HIP 109111,331.5287652,-39.54304903,M0III, 4.47
HIP 70300,215.7594054,-39.51176599,B2V, 4.41
HIP 65936,202.7611186,-39.40727983,G8II/III, 3.90
HIP 94160,287.5073019,-39.34070677,K0II/IIICN., 4.10
HIP 86670,265.6219991,-39.02992092,B1.5III, 2.39
HIP 38455,118.1610554,-38.86282206,B2V, 4.49
HIP 75501,231.3343852,-38.7335881,A0V, 4.60
HIP 86170,264.1368615,-38.63486521,G8/K0III/IV, 4.26
HIP 78655,240.850844,-38.60247122,B6III/IV, 4.90
HIP 45439,138.9031739,-38.56991789,K1III, 4.92
HIP 78384,240.0305854,-38.39664079,B2.5IV, 3.42
HIP 37297,114.8639749,-38.3080602,B3V, 4.84
HIP 82514,252.967662,-38.04732717,B1.5IV + B, 3.00
HIP 82545,253.083973,-38.01747781,B2IV, 3.56
HIP 37819,116.3137663,-37.96859848,K4III, 3.62
HIP 98761,300.8892141,-37.94049103,K4III, 4.77
HIP 94114,287.3678264,-37.90423953,A0/A1V, 4.11
HIP 70090,215.1394971,-37.88526711,A0IV, 4.05
HIP 116231,353.2424506,-37.81835895,B9.5IVMNpe., 4.38
HIP 64408,198.014445,-37.80313606,G3V, 4.85
HIP 71865,220.4900532,-37.79342394,B2.5V, 4.01
HIP 17797,57.14926223,-37.62012878,A+..., 4.30
HIP 45448,138.9377894,-37.41312644,F3/F5V, 4.63
HIP 108085,328.481892,-37.3648229,B8III, 3.00
HIP 17351,55.70884185,-37.31334485,K2IIICN..., 4.59
HIP 85696,262.690995,-37.29574016,B2IV, 2.70
HIP 53502,164.1791513,-37.1374629,K0III, 4.60
HIP 28010,88.87454313,-37.12060931,K1IIICN..., 4.97
HIP 93174,284.6811415,-37.10708855,F3IV/V, 4.83
HIP 85927,263.4021937,-37.10374835,B1.5IV+..., 1.62
HIP 35264,109.285684,-37.09748689,K3Ib, 2.71
HIP 93825,286.6043316,-37.06275714,F7IV-V, 4.23
HIP 87261,267.4643802,-37.04337105,K0/K1III, 3.19
HIP 75304,230.7890137,-36.85843627,B4V, 4.54
HIP 78918,241.6481513,-36.80221297,B2.5Vn, 4.22
